"id";"name"
7;"Great Western Trail"
8;"Feast for Odin"
9;"CO2"
10;"T’zolkin"
11;"Brass:Birmingham"
12;"Teotihuacan"
13;"Treasure Island"
14;"Scythe"
15;"Gears of War"
16;"Black Orchestra"
17;"Sagrada"
18;"Cyclades"
19;"Inis"
20;"Forbidden stars"
21;"Root"
22;"T'zolkin"
23;"Galaxy Defenders"
24;"Arkham Horror 3rd"
25;"Descent"
26;"Euphoria"
27;"Nemesis"
28;"Roll Player"
29;"Waste Knights"
30;"The Others"
31;"Rising Sun"
32;"Blood Rage"
33;"Viticulture"
34;"Champions of Midgard"
35;"KDM"
36;"Terraforming Mars"
37;"Wildlands"
38;"Gaia Project"
39;"Raiders"
40;"Shadows Over Normandie"
41;"Sword Sorcery"
42;"Western Legends"
43;"Xia"
44;"Wingspan"
